date,close,volume,open,high,low
5/15/17,315.88,7606854,318.38,320.2,312.53
5/12/17,324.81,4118613,325.48,327,321.53
5/11/17,323.1,4747172,323.4,326,319.6
5/10/17,325.22,5734524,321.56,325.5,318.12
5/9/17,321.26,9663374,309.38,321.99,309.1
5/8/17,307.19,7002907,310.9,313.79,305.82
5/5/17,308.35,8117449,298,308.55,296.8
5/4/17,295.46,14135990,307.435,307.77,290.7601
5/3/17,311.02,6879259,317.67,321.53,310.45
5/2/17,318.89,5316551,324,327.6599,316.5601
5/1/17,322.83,8819888,314.88,327.25,314.81
4/28/17,314.07,4496659,309.83,314.8,308
4/27/17,308.63,3462663,311.69,313.09,307.5
4/26/17,310.17,4683131,312.37,314.5,309
4/25/17,313.79,6734162,308,313.98,305.86
4/24/17,308.03,5077771,309.22,310.55,306.0215
4/21/17,305.6,4501958,302,306.4,300.42
4/20/17,302.51,6145961,306.51,309.15,300.23
4/19/17,305.52,3891145,302.46,306.62,302.11
4/18/17,300.25,3034225,299.7,300.8399,297.9
4/17/17,301.44,4128067,302.7,304,298.68
4/13/17,304,9275682,296.7,307.39,295.3
4/12/17,296.84,6043648,306.34,308.4481,296.32
4/11/17,308.71,5718053,313.38,313.47,305.5
4/10/17,312.39,7653623,309.15,313.7299,308.71
4/7/17,302.54,4566632,297.5,302.69,297.15
4/6/17,298.7,5517731,296.88,301.94,294.1
4/5/17,295,7858565,302.04,304.88,294.2
4/4/17,303.7,10108230,296.89,304.81,294.53
4/3/17,298.52,13864850,286.9,299,284.58
3/31/17,278.3,3293698,278.73,279.68,276.3197
3/30/17,277.92,4141437,278.04,282,277.21
3/29/17,277.38,3672526,278.34,279.6,275.54
3/28/17,277.45,7978665,277.02,280.68,275
3/27/17,270.22,6221361,260.6,270.57,259.75
3/24/17,263.16,5637668,255.7,263.89,255.01
3/23/17,254.78,3309844,255.39,257.672,253.3
3/22/17,255.01,4056735,251.56,255.07,250.51
3/21/17,250.68,6901555,262.83,264.8,250.24
3/20/17,261.92,3601616,260.6,264.55,258.821
3/17/17,261.5,6491018,264,265.33,261.2
3/16/17,262.05,7127180,262.4,265.75,259.06
3/15/17,255.73,5233365,257,261,254.27
3/14/17,258,7581719,246.11,258.12,246.02
3/13/17,246.17,3011280,244.82,246.85,242.781
3/10/17,243.69,3062785,246.21,246.5,243
3/9/17,244.9,3876494,247.63,248.66,243
3/8/17,246.87,3726746,247,250.07,245.32
3/7/17,248.59,3452587,251.92,253.89,248.32
3/6/17,251.21,3353601,247.91,251.7,247.51
